"Park_code","Loc_code","Unit_code","Location_code","Calendar_year","Start_date","Start_time","End_date","End_time","Hours_spent","Transect_easting","Transect_northing","GPS_file_name","Transect_notes","Event_notes","Entered_by","Entered_date","Updated_by","Updated_date","Verified_by","Verified_date","Certified_by","Certified_date","Is_excluded","QA_notes"
"SAJH","AC.1-1","AC","1-1","2009",6/2/2009 0:00:00,,6/2/2009 0:00:00,,0.00,497813,5368083,"N/A",,"GPS points not recorded, entire transect walked in 2007, all forest so start and end taken from aerial photo","Rochefort_Regina_M",12/10/2009 15:24:40,"Antonova_Natalya",7/8/2016 13:19:23,"Humphries_Tanner",6/30/2016 12:24:43,"Boetsch_John",7/11/2016 18:54:35,0,
"SAJH","AC.1-1","AC","1-1","2008",5/1/2008 0:00:00,,5/1/2008 0:00:00,,0.00,497813,5368084,"None","None","All forest from air photo","Grace_Lise",8/6/2009 16:12:04,"Antonova_Natalya",7/8/2016 14:46:48,"Antonova_Natalya",7/1/2016 17:44:10,"Boetsch_John",7/11/2016 18:54:35,0,"No field data collected, entered as a placeholder record for data recorded after the fact using aerial imagery"
"SAJH","AC.1-1","AC","1-1","2015",5/11/2015 0:00:00,,,,0.00,497813,5368084,,,"GPS points not recorded, entire transect walked in 2007, all forest so start and end taken from aerial photo","Antonova_Natalya",6/22/2016 17:50:39,"Antonova_Natalya",7/8/2016 17:37:23,"Casillas_Brownson_Ana",6/23/2016 12:49:05,"Boetsch_John",7/11/2016 18:54:35,0,
"SAJH","AC.1-1","AC","1-1","2013",5/7/2013 0:00:00,,,,0.00,497813,5368084,"None","None","Not monitored/no disturbance in forest since 2012 (J. Weaver pers.com)","Antonova_Natalya",6/23/2016 13:25:58,"Antonova_Natalya",7/8/2016 13:38:27,"Antonova_Natalya",7/1/2016 17:40:11,"Boetsch_John",7/11/2016 18:54:35,0,
"SAJH","AC.1-1","AC","1-1","2007",5/7/2007 0:00:00,,5/7/2007 0:00:00,,0.00,497813,5368084,,"All forest","Transect not mapped, is all forested and digitized in GIS. Start and end date is approximate to when fieldwork conducted in 2007.","Grace_Lise",8/6/2009 16:12:04,"Antonova_Natalya",7/9/2016 14:56:36,"Grace_Lise",7/1/2016 14:54:59,"Boetsch_John",7/11/2016 18:54:35,0,"No field data collected, entered as a placeholder record for data recorded after the fact using aerial imagery. No phenology data collected"
"SAJH","AC.1-1","AC","1-1","2014",6/12/2014 0:00:00,,,,0.00,497813,5368084,,,"Not GPS. All forest. No disturbance reported since 2013","Antonova_Natalya",6/23/2016 12:30:31,"Antonova_Natalya",7/8/2016 13:33:20,"Casillas_Brownson_Ana",6/29/2016 13:50:42,"Boetsch_John",7/11/2016 18:54:35,0,
"SAJH","AC.1-1","AC","1-1","2012",5/30/2012 0:00:00,12/30/1899 14:50:00,5/30/2012 0:00:00,12/30/1899 15:50:00,1.00,497811,5368084,"I053014AAC1-1.cor","cloudy",,"jboetsch",6/15/2016 15:40:27,"Antonova_Natalya",7/8/2016 17:01:51,"Rochefort_Regina_M",6/29/2016 11:19:16,"Boetsch_John",7/11/2016 18:54:35,0,"No entry on phenology"
"SAJH","AC.1-10","AC","1-10","2012",6/15/2012 0:00:00,12/30/1899 13:05:00,6/22/2012 0:00:00,,3.00,499927,5366957,"I061513AAC1-10.cor","calm, sunny","cloudy at end of dayat 15:33, finished on 6/22 at 9:00 am auto # 40, cloudy threatening rain","jboetsch",6/15/2016 15:40:27,"Antonova_Natalya",7/9/2016 18:41:57,"Rochefort_Regina_M",6/29/2016 11:46:11,"Boetsch_John",7/11/2016 18:54:35,0,"No Phenology entered; first day worked from 13:05 to 15:33 (2.5 hours), second day did 10 segments and only wrot estart time as 9 am, estimated 30 minutes so total time is enetered as 3 hours"
"SAJH","AC.1-10","AC","1-10","2009",6/24/2009 0:00:00,12/30/1899 14:00:00,6/24/2009 0:00:00,12/30/1899 16:55:00,3.00,499927,5366956,"none recorded",,,"Johnson_Sacha",12/1/2009 13:11:44,"Humphries_Tanner",6/30/2016 12:54:45,"Humphries_Tanner",6/30/2016 12:54:45,"Boetsch_John",7/11/2016 18:54:35,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,12/30/1899 8:45:00,6/12/2014 0:00:00,12/30/1899 12:00:00,2.25,499928,5366957,"P061208AAC1-10.cor","Sunny, partly cloudy, warm",,"jboetsch",6/15/2016 15:40:27,"Antonova_Natalya",7/9/2016 17:07:46,"Casillas_Brownson_Ana",6/29/2016 15:24:25,"Boetsch_John",7/11/2016 18:54:35,0,
